recorded at,gps at,latitude,longitude,altitude,quality,mean lat,mean lng,n fixes
2023-02-17 11:57:18,2023-02-17 11:57:17,51.983191,5.659203,7.384,3,51.983204,5.659075,50
2023-02-17 12:12:19,2023-02-17 12:12:17,51.983258,5.659183,-11.978,3,51.983291,5.659154,50
2023-02-17 12:27:19,2023-02-17 12:27:18,51.983214,5.659235,13.027,3,51.983214,5.659235,50
2000-01-01 00:16:26,,,,,
