Time,RadioId,TagId,TagRSSI,NodeId,Validated
2023-02-17 12:04:33,4,BE246924,-110,,0
2023-02-17 12:05:36,4,3FCE0DBE,-106,,0
2023-02-17 12:06:55,4,4A477E4C,-111,,0
2023-02-17 12:26:31,4,2D4C644E,-111,,0
2000-01-01 00:01:41,4,1955191E,-85,,1
2000-01-01 00:03:09,4,66000000,-89,,0
2000-01-01 00:04:13,4,1955191E,-84,,1
2000-01-01 00:04:14,4,4C1E2A1E,-88,,1
2000-01-01 00:06:07,4,667FFFFF,-87,,0
2000-01-01 00:06:09,4,527FFFFF,-104,,0
2000-01-01 00:06:49,4,7FFFFFFF,-101,,0
2000-01-01 00:06:55,4,664C0000,-88,,0
2000-01-01 00:07:10,4,1955191E,-107,,1
2000-01-01 00:07:45,4,52615500,-90,,0
2000-01-01 00:07:45,4,4C1E2A1E,-91,,1
2000-01-01 00:07:58,4,61000000,-93,,0
2000-01-01 00:08:14,4,664C337F,-93,,0
2000-01-01 00:08:18,4,5261557F,-103,,0
2000-01-01 00:08:28,4,1955191E,-108,,0
2000-01-01 00:08:36,4,34664B33,-105,,1
2000-01-01 00:08:48,4,1955191E,-106,,1
2000-01-01 00:08:54,4,1955191E,-108,,1
2000-01-01 00:08:57,4,34664B33,-104,,1
2000-01-01 00:08:59,4,1955191E,-109,,1
2000-01-01 00:09:00,4,614C0000,-106,,0
2000-01-01 00:09:14,4,1955191E,-107,,1
2000-01-01 00:09:31,4,66617FFF,-84,,0
2000-01-01 00:09:35,4,1955191E,-107,,1
2000-01-01 00:09:40,4,1955191E,-106,,1
2000-01-01 00:09:45,4,1955191E,-106,,1
2000-01-01 00:09:50,4,664C0000,-93,,0
2000-01-01 00:09:50,4,1955191E,-106,,1
2000-01-01 00:09:52,4,4C1E2A1E,-91,,1
2000-01-01 00:09:56,4,1955191E,-107,,1
2000-01-01 00:10:26,4,34664B33,-108,,0
2000-01-01 00:10:36,4,34664B33,-91,,1
2000-01-01 00:10:42,4,34664B33,-108,,0
2000-01-01 00:10:47,4,34664B33,-108,,1
2000-01-01 00:10:52,4,34664B33,-108,,1
2000-01-01 00:10:57,4,34664B33,-107,,1
2000-01-01 00:11:03,4,34664B33,-108,,0
2000-01-01 00:11:08,4,34664B33,-108,,1
2000-01-01 00:11:33,4,664C0000,-90,,0
2000-01-01 00:11:34,4,34664B33,-107,,1
2000-01-01 00:11:44,4,1955191E,-108,,1
